@relation Ogrenci_Performans

@attribute ﻿Cinsiyet {Kadin,Erkek}
@attribute 'Ebeveyn Egitim Seviyesi' {'Lisans Mezunu','Onlisans Mezunu','Yuksek Lisans Mezunu','Lise Mezunu'}
@attribute 'Okul Yemekhanesi' {Yok,Var}
@attribute 'Ozel Ders' {Yok,Var}
@attribute Matematik numeric
@attribute Okuma numeric
@attribute Yazma numeric

@data
Kadin,'Onlisans Mezunu',Yok,Var,88,93,93
Erkek,'Onlisans Mezunu',Yok,Yok,88,73,78
Erkek,'Lise Mezunu',Yok,Yok,88,84,75
Kadin,'Onlisans Mezunu',Yok,Var,88,95,94
Kadin,'Onlisans Mezunu',Yok,Var,88,92,95
Erkek,'Onlisans Mezunu',Yok,Var,88,85,76
Erkek,'Lisans Mezunu',Var,Yok,88,75,76
Kadin,'Lise Mezunu',Yok,Var,88,99,100
Erkek,'Lisans Mezunu',Yok,Yok,88,78,83
Erkek,'Lise Mezunu',Yok,Var,88,74,75
Erkek,'Onlisans Mezunu',Yok,Yok,88,77,77
Kadin,'Yuksek Lisans Mezunu',Yok,Var,88,99,95
Erkek,'Yuksek Lisans Mezunu',Yok,Yok,89,84,82
Erkek,'Onlisans Mezunu',Yok,Yok,89,76,74
Erkek,'Lise Mezunu',Yok,Var,89,88,82
Erkek,'Lise Mezunu',Yok,Yok,89,87,79
Erkek,'Lise Mezunu',Yok,Var,89,84,77
Kadin,'Lisans Mezunu',Yok,Yok,89,100,100
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,90,95,93
Erkek,'Onlisans Mezunu',Var,Yok,90,87,75
Erkek,'Onlisans Mezunu',Yok,Yok,90,78,81
Kadin,'Onlisans Mezunu',Yok,Var,90,90,91
Erkek,'Onlisans Mezunu',Yok,Yok,90,87,85
Erkek,'Lise Mezunu',Yok,Yok,90,75,69
Erkek,'Yuksek Lisans Mezunu',Yok,Yok,90,85,84
Erkek,'Onlisans Mezunu',Var,Yok,90,90,82
Erkek,'Onlisans Mezunu',Yok,Var,91,89,92
Erkek,'Onlisans Mezunu',Yok,Yok,91,74,76
Kadin,'Onlisans Mezunu',Yok,Yok,91,86,84
Erkek,'Lisans Mezunu',Yok,Yok,91,96,92
Erkek,'Onlisans Mezunu',Var,Var,91,73,80
Erkek,'Lisans Mezunu',Yok,Var,91,81,79
Erkek,'Yuksek Lisans Mezunu',Yok,Var,91,85,85
Erkek,'Onlisans Mezunu',Yok,Var,91,96,91
Kadin,'Onlisans Mezunu',Yok,Yok,91,95,94
Erkek,'Lise Mezunu',Yok,Yok,92,87,78
Kadin,'Lise Mezunu',Yok,Var,92,100,97
Kadin,'Lisans Mezunu',Var,Var,92,100,100
Kadin,'Lisans Mezunu',Yok,Var,92,100,99
Erkek,'Onlisans Mezunu',Yok,Yok,92,79,84
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,92,100,100
Erkek,'Onlisans Mezunu',Var,Yok,93,90,83
Erkek,'Onlisans Mezunu',Yok,Var,93,84,90
Kadin,'Onlisans Mezunu',Yok,Var,93,100,95
Kadin,'Lisans Mezunu',Var,Var,93,100,100
Erkek,'Lise Mezunu',Yok,Yok,94,88,78
Kadin,'Onlisans Mezunu',Yok,Var,94,87,92
Erkek,'Lisans Mezunu',Yok,Var,94,90,91
Kadin,'Yuksek Lisans Mezunu',Yok,Var,94,99,100
Erkek,'Onlisans Mezunu',Yok,Var,94,85,82
Erkek,'Lise Mezunu',Yok,Var,94,86,87
Erkek,'Lise Mezunu',Yok,Yok,94,73,71
Kadin,'Onlisans Mezunu',Yok,Var,95,89,92
Erkek,'Yuksek Lisans Mezunu',Yok,Yok,95,81,84
Kadin,'Lisans Mezunu',Yok,Var,96,100,100
Erkek,'Lisans Mezunu',Yok,Var,96,90,92
Kadin,'Onlisans Mezunu',Yok,Var,96,96,99
Erkek,'Onlisans Mezunu',Yok,Yok,97,87,82
Kadin,'Lise Mezunu',Yok,Var,97,100,100
Erkek,'Onlisans Mezunu',Yok,Var,97,82,88
Erkek,'Onlisans Mezunu',Yok,Var,97,92,86
Kadin,'Lisans Mezunu',Yok,Yok,97,97,96
Erkek,'Onlisans Mezunu',Yok,Yok,97,93,91
Erkek,'Onlisans Mezunu',Yok,Var,98,86,90
Kadin,'Onlisans Mezunu',Yok,Yok,98,100,99
Erkek,'Onlisans Mezunu',Yok,Var,98,87,90
Kadin,'Lisans Mezunu',Yok,Var,99,100,100
Kadin,'Lise Mezunu',Yok,Yok,99,93,90
Erkek,'Onlisans Mezunu',Yok,Var,99,87,81
Erkek,'Onlisans Mezunu',Var,Var,100,100,93
Kadin,'Onlisans Mezunu',Yok,Yok,100,92,97
Kadin,'Lisans Mezunu',Yok,Yok,100,100,100
Erkek,'Onlisans Mezunu',Yok,Var,100,96,86
Erkek,'Onlisans Mezunu',Yok,Var,100,97,99
Erkek,'Lisans Mezunu',Yok,Var,100,100,100
Kadin,'Onlisans Mezunu',Yok,Yok,100,100,100
